Category,Name,Description,Price
Warhammer,Imperial Guard Infantry Squad,Box of 10 Astra Militarum soldiers,26.99
DnD,Enchanting Elven Sorceress,Miniature of an enchanting elven spellcaster,14.99
DnD,Marauding Gnoll Warband,Box of 6 gnoll warrior miniatures,20.99
Supplies,Professional Brush Set,Set of professional-grade brushes for painting,14.99
Supplies,Vibrant Acrylic Paint Set,Set of vibrant acrylic paints in various colors,19.99
Terrain,Ruined Cityscape Set,Realistic urban terrain for wargaming,34.99
Terrain,Natural Forest Scatter Terrain,Natural scatter terrain for enhancing dioramas,8.99
Warhammer,Primaris Space Marine Intercessors,Box of 5 Primaris intercessor miniatures,28.99
Warhammer,Tyranid Carnifex,Massive Tyranid creature for battles,47.99
DnD,Fearsome Orc Warlord,Miniature of a fearsome orc warlord,16.99
DnD,Charismatic Human Bard,Miniature of a charismatic human bard,9.99
Supplies,Essential Modeling Tools Set,Essential tools for hobby modeling,12.49
Terrain,Fantasy Rock Collection,Assortment of textured rock terrain pieces,11.99
Warhammer,Necron Warrior Phalanx,Box of 12 Necron warrior miniatures,24.99
Warhammer,Powerful Chaos Sorcerer,Powerful sorcerer terrainminiature for Chaos armies,18.99
DnD,Nature-Focused Elf Druid,Miniature of a nature-focused elf druid,10.99
DnD,Menacing Giant Spider Miniature,Miniature of a menacing giant spider,13.99
Supplies,Complete Airbrush Kit,Comprehensive airbrushing setup for detailed work,79.99
Terrain,City Street Barricades,Set of urban barricades for city scenes,15.49
Terrain,Futuristic Sci-Fi Crates,Set of futuristic crates for sci-fi tabletops,9.99
Supplies,Convenient Paint Holder Stand,Convenient stand for holding paint pots,7.49
Warhammer,Dark Eldar Raider Squadron,Box of 3 Dark Eldar raider vehicles,42.99
Warhammer,Space Wolves Infantry Pack,Box of 10 Space Wolves infantry miniatures,31.99
DnD,Fiery Tiefling Sorcerer,Miniature of a fiery tiefling sorcerer,12.99
DnD,Powerful Lich Lord,Miniature of a powerful undead lich,20.99
Supplies,Realistic Weathering Wash Set,Set of washes for realistic weathering effects,11.99
Supplies,Collection of Palette Knives,Collection of palette knives for texture work,6.99
Terrain,Modular Sci-Fi Buildings,Set of modular sci-fi buildings for gaming,39.99
Terrain,Intricately Detailed Fantasy Portal,Intricately detailed fantasy portal terrain,17.99
Warhammer,Chaos Havocs with Heavy Weapons,Box of 5 Chaos Havocs with heavy weapons,29.99
Warhammer,Genestealer Cult Neophytes,Box of 10 Genestealer Cultist miniatures,22.99
DnD,Sneaky Half-Elf Rogue,Miniature of a sneaky half-elf rogue,8.99
DnD,Mystical Goblin Shaman,Miniature of a mystical goblin shaman,11.99
Supplies,Professional Watercolor Paint Set,High-quality watercolor paints for artists,22.99
Supplies,Sculpting Clay Assortment,Assorted sculpting clay for creative projects,17.49
Terrain,Futuristic Sci-Fi Bunkers,Set of futuristic bunkers for gaming tables,38.99
Terrain,Natural Rock Formation Terrain,Natural rock formations for realistic scenes,11.99
Warhammer,Adeptus Mechanicus Skitarii Squad,Box of 10 Skitarii soldiers,29.99
Warhammer,Dark Angels Terminator Squad,Box of 5 Dark Angels terminators,33.99
DnD,Intricately Detailed Mind Flayer,Intricately detailed Mind Flayer model,44.99
DnD,Whimsical Gnome Wizard,Miniature of a whimsical gnome wizard,13.99
Supplies,Precision Detailing Brushes Set,Precision brushes for intricate detailing,8.99
Terrain,Assortment of Barrels and Crates,Set of barrels and crates for enhancing dioramas,9.99
Warhammer,Mighty Chaos Daemon Prince,Mighty Chaos Daemon prince miniature,43.99
Warhammer,Tau Stealth Suit Squad,Box of 3 Tau Stealth Suit miniatures,26.99
DnD,Battle-Hardened Half-Orc Fighter,Miniature of a battle-hardened half-orc,12.49
DnD,Menacing Young Green Dragon,Miniature of a menacing young green dragon,19.99
Supplies,Paint Rack Organizer,Organize your paint collection with this rack,19.49
Terrain,Desert Oasis Terrain,Fantasy terrain depicting a desert oasis,15.99
Terrain,Futuristic Sci-Fi Containers,Set of sci-fi cargo containers for terrain,10.99
Supplies,Precision Miniature Holder Tool,Hold miniatures securely while painting,6.99
Warhammer,Tyranid Biovore Squad,Box of 3 Tyranid Biovore miniatures,32.99
Warhammer,Blood Angels Assault Squad,Box of 5 Blood Angels assault marines,27.99
DnD,Stalwart Warforged Paladin,Miniature of a stalwart warforged paladin,14.99
DnD,Musically Talented Goblin Bard,Miniature of a musically talented goblin,7.99
Supplies,Texture Paint Set,Set of textured paints for realistic effects,16.99
Supplies,Assortment of Modeling Files,Assortment of files for shaping miniatures,9.49
Terrain,Realistic Fantasy Watchtower,Realistic watchtower terrain piece,22.99
Terrain,Ancient Fallen Kingdom Ruins,Set of ancient ruins for historical gaming,12.99
Warhammer,Massive Ork Gorkanaut,Massive Ork Gorkanaut walker,49.99
Warhammer,Death Guard Plague Marines,Box of 7 Death Guard Plague Marine miniatures,37.99
DnD,Elegant Elven Wizard,Miniature of an elegant elven wizard,11.99
DnD,Mischievous Kobold Sorcerer,Miniature of a mischievous kobold sorcerer,8.49
Supplies,Professional Oil Paint Set,Professional oil paints for traditional artists,28.99
Supplies,Complete Sculpting Kit,Complete kit for sculpting intricate miniatures,19.99
Terrain,Medieval Village Set,Set of medieval buildings for dioramas,42.99
Terrain,Sci-Fi Crystal Cluster Terrain,Sci-fi crystal cluster terrain piece,14.99
Warhammer,Primaris Reivers Squad,Box of 5 Primaris Reiver miniatures,31.99
Warhammer,Adepta Sororitas Celestians,Box of 10 Adepta Sororitas Celestian miniatures,34.99
DnD,Intricately Detailed Fire Elemental,Intricately detailed fire elemental model,49.99
DnD,Sneaky Half-Elf Rogue,Miniature of a sneaky half-elf rogue,10.99
Supplies,Detail Wash Set,Set of washes for highlighting and shading,9.99
Terrain,Ruined Cathedral Terrain,Ruined cathedral terrain piece for tabletops,24.99
Warhammer,Genestealer Cult Aberrants,Box of 5 Genestealer Cult Aberrant miniatures,27.99
Warhammer,Eldar Wraithknight,Massive Eldar Wraithknight walker,47.99
DnD,Swift and Agile Tabaxi Monk,Miniature of a swift and agile tabaxi monk,13.99
DnD,Majestic Young Silver Dragon,Miniature of a majestic young silver dragon,22.99
Supplies,Brush Cleaner Solution,Clean and maintain your painting brushes,7.99
Terrain,Post-Apocalyptic Wasteland Scatter Terrain,Set of scatter terrain for post-apocalyptic scenes,11.49
Terrain,Futuristic Cyberpunk Billboards,Set of futuristic billboards for terrain,12.99
Supplies,Precision Miniature Drill Set,Precision drill set for miniature conversion,14.99
Warhammer,Custodian Guard Squad,Box of 3 Adeptus Custodes Custodian Guard miniatures,39.99
Warhammer,Chaos Daemonettes,Box of 10 Chaos Daemonette miniatures,23.99
DnD,Formidable Warforged Fighter,Miniature of a formidable warforged fighter,14.99
DnD,Commanding Hobgoblin Warlord,Miniature of a commanding hobgoblin warlord,16.49
Supplies,Realistic Chipping Medium,Medium for creating realistic paint chipping effects,8.49
Supplies,Brush Rest Holder,Holder to keep brushes organized while painting,5.99
Terrain,Futuristic Sci-Fi Energy Generators,Set of energy generator terrain pieces,18.99
Terrain,Eerie Cursed Swamp Terrain,Swamp terrain with eerie elements for gaming,15.99
Warhammer,Space Wolves Thunderwolf Cavalry,Box of 3 Space Wolves Thunderwolf Cavalry,49.99
Warhammer,Tau XV8 Crisis Battlesuits,Box of 3 Tau XV8 Crisis Battlesuit miniatures,36.99
DnD,Mystical Tiefling Warlock,Miniature of a mystical tiefling warlock,12.99
DnD,Fearsome Orc Berserker,Miniature of a fearsome orc berserker,9.99
3D Printing,Enhanced PLA+ Filament,Enhanced PLA+ filament for detailed prints,26.99
3D Printing,Strong PETG Filament,Strong and durable PETG filament,31.99
3D Printing,Carbon Fiber Infused PLA Filament,PLA filament infused with carbon fiber,34.99
3D Printing,UV-Curing Resin Kit,Post-processing kit for UV-cured resin prints,22.99
3D Printing,Flexible TPU Filament,TPU filament for flexible and elastic prints,28.99
3D Printing,Natural Wood PLA Filament,PLA filament with natural wood texture,33.99
3D Printing,Metallic PLA Filament,PLA filament with metallic sheen,38.99
3D Printing,Durable Carbon Fiber Nylon Filament,Durable nylon filament with carbon fiber,42.99
Supplies,High-Quality Watercolor Paint Set,Professional watercolor paints for artists,24.99
Supplies,Sculpting Clay Assortment,Assorted sculpting clay for creative projects,16.49
Terrain,Fantasy Castle Set,Set of castle buildings for imaginative scenes,47.99
Terrain,Sci-Fi Cargo Crates,Set of sci-fi cargo crates for terrain decoration,13.99
Warhammer,Tau Fire Warrior Squad,Box of 10 Tau Fire Warrior miniatures,29.9
Warhammer,Majestic Imperial Knight Warden,Majestic Imperial Knight warden walker,54.99
DnD,Intricately Detailed Beholder,Intricately detailed beholder model,52.99
DnD,Eccentric Gnome Wizard,Miniature of an eccentric gnome wizard,15.99
Supplies,Precision Detailing Brushes Set,Precision brushes for intricate detailing,10.99
